Start Time, 2026-05-01 00:00:00
End Time, 2026-05-15 23:59:59
AdGroup ID,AdGroup Name,Campaign ID,Campaign Name,Query,Views,Clicks,Average CPC,Click Through Rate in %, Direct Units Sold,Indirect Units Sold,Direct Conversion Rate in %,Indirect Conversion Rate in %,Direct Revenue,Indirect Revenue,ROI,SUM(cost)
XNCSWBCVKJJ9,Office Supplies,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,thermal label printer,86,3,0.8600,3.4884,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,2.5800
7GO6YS9ST4EB,"Kitchen, Cookware & Serveware",FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,Cutting board,85,1,1.2500,1.1765,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.2500
7GO6YS9ST4EB,"Kitchen, Cookware & Serveware",FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,vegetable cutter chopper board wooden kitchen,85,5,1.2500,5.8824,1,0,20.0000,0.0000,198.0000,0.0000,31.6800,6.2500
7GO6YS9ST4EB,"Kitchen, Cookware & Serveware",FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,vegetable cutting wood plate,84,4,1.2500,4.7619,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000
KY1IV7QVRGB6,Default adgroup,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,disposable paper mat for universal car,83,4,0.8600,4.8193,2,0,50.0000,0.0000,734.0000,0.0000,213.3721,3.4400
XNCSWBCVKJJ9,Office Supplies,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,thermal paper roll 4*6,83,11,0.8509,13.2530,4,0,36.3636,0.0000,1412.0000,0.0000,150.8547,9.3600
XNCSWBCVKJJ9,Office Supplies,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,thermal printer,82,6,0.8600,7.3171,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,5.1600
7GO6YS9ST4EB,"Kitchen, Cookware & Serveware",FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,vegetable plate,82,1,1.2500,1.2195,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.2500
7GO6YS9ST4EB,"Kitchen, Cookware & Serveware",FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,Kitchen,82,1,1.2500,1.2195,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.2500
XNCSWBCVKJJ9,Office Supplies,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,paper,81,0,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
